Name,2020 Population,code,region_code,province_code,municipality_code,barangay_code
Nagsurot,902,8.0,10,102,10,8.0
Paayas,869,9.0,10,102,10,9.0
Pagali,776,0.0,10,102,10,0.0
Poblacion,1468,1.0,10,102,10,1.0
Saoit,739,3.0,10,102,10,3.0
Tanap,683,4.0,10,102,10,4.0
Angset,176,1.0,10,102,10,1.0
Barbaqueso ,812,3.0,10,102,10,3.0
Virbira,619,4.0,10,102,10,4.0
Anggapang Norte,319,1.0,10,102,10,1.0
Anggapang Sur,183,2.0,10,102,10,2.0
Bimmanga,342,3.0,10,102,10,3.0
Cabuusan,327,4.0,10,102,10,4.0
Comcomloong,124,5.0,10,102,10,5.0
Gaang,1287,6.0,10,102,10,6.0
Lang-ayan-Baramban,531,7.0,10,102,10,7.0
Lioes,479,8.0,10,102,10,8.0
Maglaoi Centro,229,9.0,10,102,10,9.0
Maglaoi Norte,658,0.0,10,102,10,0.0
Maglaoi Sur,543,1.0,10,102,10,1.0
Paguludan-Salindeg,296,3.0,10,102,10,3.0
Pangil,541,4.0,10,102,10,4.0
Pias Norte,932,5.0,10,102,10,5.0
Pias Sur,778,6.0,10,102,10,6.0
Poblacion I,673,7.0,10,102,10,7.0
Poblacion II,564,8.0,10,102,10,8.0
Salugan,586,9.0,10,102,10,9.0
San Simeon,284,0.0,10,102,10,0.0
Santa Cruz,356,1.0,10,102,10,1.0
Tapao-Tigue,874,2.0,10,102,10,2.0
Torre,410,3.0,10,102,10,3.0
Victoria,899,4.0,10,102,10,4.0
Albano ,871,1.0,10,102,10,1.0
Bacsil,878,2.0,10,102,10,2.0
Bagut,1062,3.0,10,102,10,3.0
Parado,1563,4.0,10,102,10,4.0
Baresbes,2036,5.0,10,102,10,5.0
Barong,2468,6.0,10,102,10,6.0
Bungcag,578,7.0,10,102,10,7.0
Cali,1343,9.0,10,102,10,9.0
Capasan,732,0.0,10,102,10,0.0
Dancel ,654,1.0,10,102,10,1.0
Foz,915,2.0,10,102,10,2.0
Guerrero ,1496,3.0,10,102,10,3.0
Lanas,1062,4.0,10,102,10,4.0
Lumbad,1079,5.0,10,102,10,5.0
Madamba ,1961,6.0,10,102,10,6.0
Mandaloque,647,7.0,10,102,10,7.0
Medina,1298,8.0,10,102,10,8.0
Ver,1223,9.0,10,102,10,9.0
San Marcelino,4053,0.0,10,102,10,0.0
Puruganan ,868,1.0,10,102,10,1.0
Peralta ,1340,2.0,10,102,10,2.0
Root,807,3.0,10,102,10,3.0
Sagpatan,846,4.0,10,102,10,4.0
Saludares,1473,5.0,10,102,10,5.0
San Esteban,831,6.0,10,102,10,6.0
Espiritu,1030,7.0,10,102,10,7.0
Sulquiano,1478,8.0,10,102,10,8.0
San Francisco,2304,9.0,10,102,10,9.0
Suyo,1404,0.0,10,102,10,0.0
San Marcos,741,1.0,10,102,10,1.0
Elizabeth,1086,2.0,10,102,10,2.0
Cabaritan,448,1.0,10,102,10,1.0
San Isidro,1026,2.0,10,102,10,2.0
Kalaw,644,3.0,10,102,10,3.0
Quibel,969,4.0,10,102,10,4.0
Balioeg,844,1.0,10,102,10,1.0
Bangsar,874,2.0,10,102,10,2.0
Barbarangay,819,3.0,10,102,10,3.0
Bomitog,1276,4.0,10,102,10,4.0
Bugasi,945,5.0,10,102,10,5.0
Caestebanan,836,6.0,10,102,10,6.0
Caribquib,1055,8.0,10,102,10,8.0
Catagtaguen,1318,9.0,10,102,10,9.0
Crispina,955,1.0,10,102,10,1.0
Hilario ,951,2.0,10,102,10,2.0
Imelda,613,3.0,10,102,10,3.0
Lorenzo ,746,4.0,10,102,10,4.0
Macayepyep,1054,5.0,10,102,10,5.0
Marcos ,1048,6.0,10,102,10,6.0
Nagpatayan,902,7.0,10,102,10,7.0
Valdez,1061,8.0,10,102,10,8.0
Sinamar,1205,9.0,10,102,10,9.0
Tabtabagan,1148,0.0,10,102,10,0.0
Valenciano ,694,1.0,10,102,10,1.0
