Name,2020 Population,code,region_code,province_code,municipality_code,barangay_code
San Pascual,1600,1.0,10,105,10,1.0
San Vicente,957,2.0,10,105,10,2.0
Sapa Grande,1372,3.0,10,105,10,3.0
Sapa Pequeña,1067,4.0,10,105,10,4.0
Tambacan,1657,5.0,10,105,10,5.0
Ambonao,6879,1.0,10,105,10,1.0
Ambuetel,2933,2.0,10,105,10,2.0
Banaoang,5032,3.0,10,105,10,3.0
Bued,5896,4.0,10,105,10,4.0
Buenlag,8281,5.0,10,105,10,5.0
Cabilocaan,2985,6.0,10,105,10,6.0
Dinalaoan,4114,7.0,10,105,10,7.0
Doyong,3957,8.0,10,105,10,8.0
Gabon,3026,9.0,10,105,10,9.0
Lasip,3398,0.0,10,105,10,0.0
Longos,3006,1.0,10,105,10,1.0
Lumbang,2379,2.0,10,105,10,2.0
Macabito,4395,3.0,10,105,10,3.0
Malabago,4329,4.0,10,105,10,4.0
Mancup,3621,5.0,10,105,10,5.0
Nagsaing,6060,6.0,10,105,10,6.0
Nalsian,6906,7.0,10,105,10,7.0
Poblacion East,1671,8.0,10,105,10,8.0
Poblacion West,883,9.0,10,105,10,9.0
Quesban,3191,0.0,10,105,10,0.0
San Miguel,7747,2.0,10,105,10,2.0
San Vicente,2107,3.0,10,105,10,3.0
Songkoy,2848,4.0,10,105,10,4.0
Talibaew,4827,5.0,10,105,10,5.0
Bacayao Norte,4295,1.0,10,105,10,1.0
Bacayao Sur,2520,2.0,10,105,10,2.0
Barangay II,2300,3.0,10,105,10,3.0
Barangay IV,1199,4.0,10,105,10,4.0
Bolosan,3320,6.0,10,105,10,6.0
Bonuan Binloc,10674,7.0,10,105,10,7.0
Bonuan Boquig,15351,8.0,10,105,10,8.0
Bonuan Gueset,25390,9.0,10,105,10,9.0
Calmay,5906,0.0,10,105,10,0.0
Carael,6490,1.0,10,105,10,1.0
Caranglaan,5880,2.0,10,105,10,2.0
Herrero,1583,3.0,10,105,10,3.0
Lasip Chico,1208,4.0,10,105,10,4.0
Lasip Grande,2413,5.0,10,105,10,5.0
Lomboy,1300,6.0,10,105,10,6.0
Lucao,10153,7.0,10,105,10,7.0
Malued,9265,8.0,10,105,10,8.0
Mamalingling,1844,9.0,10,105,10,9.0
Mangin,4079,0.0,10,105,10,0.0
Mayombo,8470,1.0,10,105,10,1.0
Pantal,17807,2.0,10,105,10,2.0
Poblacion Oeste,4234,3.0,10,105,10,3.0
Barangay I,722,4.0,10,105,10,4.0
Pogo Chico,4389,5.0,10,105,10,5.0
Pogo Grande,1990,6.0,10,105,10,6.0
Pugaro Suit,5431,7.0,10,105,10,7.0
Salapingao,2954,8.0,10,105,10,8.0
Salisay,2701,9.0,10,105,10,9.0
Tambac,2399,0.0,10,105,10,0.0
Tapuac,5004,1.0,10,105,10,1.0
Tebeng,3031,2.0,10,105,10,2.0
Alilao,567,1.0,10,105,10,1.0
Amalbalan,1967,2.0,10,105,10,2.0
Bobonot,1620,3.0,10,105,10,3.0
Eguia,3114,4.0,10,105,10,4.0
Gais-Guipe,2625,5.0,10,105,10,5.0
Hermosa,1767,6.0,10,105,10,6.0
Macalang,1939,7.0,10,105,10,7.0
Magsaysay,705,8.0,10,105,10,8.0
Malacapas,1253,0.0,10,105,10,0.0
Malimpin,1646,1.0,10,105,10,1.0
Osmeña,1771,2.0,10,105,10,2.0
Petal,1735,3.0,10,105,10,3.0
Poblacion,3443,4.0,10,105,10,4.0
San Vicente,1392,5.0,10,105,10,5.0
Tambac,884,6.0,10,105,10,6.0
Tambobong,2089,7.0,10,105,10,7.0
Uli,1954,8.0,10,105,10,8.0
Viga,884,9.0,10,105,10,9.0
Bamban,3025,2.0,10,105,10,2.0
Batang,1398,3.0,10,105,10,3.0
Bayambang,2675,4.0,10,105,10,4.0
Cato,4849,5.0,10,105,10,5.0
Doliman,1492,6.0,10,105,10,6.0
Fatima,2357,7.0,10,105,10,7.0
Maya,1385,8.0,10,105,10,8.0
Nangalisan,1217,9.0,10,105,10,9.0
Nayom,2093,0.0,10,105,10,0.0
Pita,1028,1.0,10,105,10,1.0
Poblacion,3250,2.0,10,105,10,2.0
Potol,854,3.0,10,105,10,3.0
Babuyan,619,4.0,10,105,10,4.0
Bolo,4615,1.0,10,105,10,1.0
Bongalon,4374,2.0,10,105,10,2.0
Dulig,2741,3.0,10,105,10,3.0
Laois,2832,4.0,10,105,10,4.0
Magsaysay,1659,5.0,10,105,10,5.0
Poblacion,2222,6.0,10,105,10,6.0
San Gonzalo,998,7.0,10,105,10,7.0
San Jose,1310,8.0,10,105,10,8.0
Tobuan,3231,9.0,10,105,10,9.0
Uyong,2829,0.0,10,105,10,0.0
Aliwekwek,1549,1.0,10,105,10,1.0
Baay,5818,2.0,10,105,10,2.0
Balangobong,1294,3.0,10,105,10,3.0
Balococ,2286,4.0,10,105,10,4.0
Bantayan,1226,6.0,10,105,10,6.0
Basing,3029,7.0,10,105,10,7.0
Capandanan,2517,8.0,10,105,10,8.0
Domalandan Center,2066,9.0,10,105,10,9.0
Domalandan East,2441,0.0,10,105,10,0.0
Domalandan West,2685,1.0,10,105,10,1.0
Dorongan,336,3.0,10,105,10,3.0
Dulag,1874,4.0,10,105,10,4.0
Estanza,4105,5.0,10,105,10,5.0
Lasip,2089,6.0,10,105,10,6.0
Libsong East,6467,7.0,10,105,10,7.0
Libsong West,5285,8.0,10,105,10,8.0
Malawa,2158,9.0,10,105,10,9.0
Malimpuec,3872,0.0,10,105,10,0.0
Maniboc,8149,1.0,10,105,10,1.0
Matalava,2931,2.0,10,105,10,2.0
Naguelguel,3011,3.0,10,105,10,3.0
Namolan,2627,5.0,10,105,10,5.0
Pangapisan North,8502,6.0,10,105,10,6.0
Pangapisan Sur,1791,7.0,10,105,10,7.0
Poblacion,12855,8.0,10,105,10,8.0
Quibaol,3259,9.0,10,105,10,9.0
Rosario,2521,0.0,10,105,10,0.0
Sabangan,1575,1.0,10,105,10,1.0
Talogtog,773,2.0,10,105,10,2.0
Tonton,4788,3.0,10,105,10,3.0
Tumbar,1794,4.0,10,105,10,4.0
Wawa,2055,5.0,10,105,10,5.0
Bacnit,1371,2.0,10,105,10,2.0
Barlo,1771,3.0,10,105,10,3.0
Caabiangaan,856,5.0,10,105,10,5.0
Cabanaetan,1559,6.0,10,105,10,6.0
Cabinuangan,1556,7.0,10,105,10,7.0
Calzada,1884,8.0,10,105,10,8.0
Caranglaan,1652,9.0,10,105,10,9.0
De Guzman,2191,0.0,10,105,10,0.0
Luna,1302,2.0,10,105,10,2.0
Magalong,815,3.0,10,105,10,3.0
Nibaliw,1125,4.0,10,105,10,4.0
Patar,988,5.0,10,105,10,5.0
Poblacion,2837,6.0,10,105,10,6.0
San Pedro,1049,7.0,10,105,10,7.0
Tagudin,4212,8.0,10,105,10,8.0
Villacorta,1286,0.0,10,105,10,0.0
Abonagan,1671,1.0,10,105,10,1.0
Agdao,903,2.0,10,105,10,2.0
Alacan,2013,3.0,10,105,10,3.0
Aliaga,2785,4.0,10,105,10,4.0
Amacalan,1487,5.0,10,105,10,5.0
Anolid,1446,6.0,10,105,10,6.0
Apaya,1884,7.0,10,105,10,7.0
Asin Este,3010,8.0,10,105,10,8.0
Asin Weste,973,9.0,10,105,10,9.0
Bacundao Este,1422,0.0,10,105,10,0.0
Bacundao Weste,1631,1.0,10,105,10,1.0
Bakitiw,2423,2.0,10,105,10,2.0
Balite,1049,3.0,10,105,10,3.0
Banawang,3218,4.0,10,105,10,4.0
Barang,2700,5.0,10,105,10,5.0
Bawer,814,6.0,10,105,10,6.0
Binalay,1469,7.0,10,105,10,7.0
Bobon,1159,8.0,10,105,10,8.0
Bolaoit,3004,9.0,10,105,10,9.0
Bongar,1753,0.0,10,105,10,0.0
Butao,1281,1.0,10,105,10,1.0
Cabatling,2690,2.0,10,105,10,2.0
Cabueldatan,780,3.0,10,105,10,3.0
Calbueg,2171,6.0,10,105,10,6.0
Canan Norte,2012,7.0,10,105,10,7.0
Canan Sur,1318,8.0,10,105,10,8.0
Cawayan Bogtong,3176,9.0,10,105,10,9.0
Don Pedro,3444,1.0,10,105,10,1.0
Gatang,1858,2.0,10,105,10,2.0
Goliman,1713,3.0,10,105,10,3.0
Gomez,1100,4.0,10,105,10,4.0
Guilig,1354,5.0,10,105,10,5.0
Ican,1633,6.0,10,105,10,6.0
Ingalagala,906,7.0,10,105,10,7.0
Lareg-lareg,2392,8.0,10,105,10,8.0
Lasip,1805,9.0,10,105,10,9.0
Lepa,2246,0.0,10,105,10,0.0
Loqueb Este,2550,1.0,10,105,10,1.0
Loqueb Norte,2313,2.0,10,105,10,2.0
Loqueb Sur,1761,3.0,10,105,10,3.0
Lunec,2741,4.0,10,105,10,4.0
Mabulitec,974,5.0,10,105,10,5.0
Malimpec,2641,7.0,10,105,10,7.0
Manggan-Dampay,1807,8.0,10,105,10,8.0
Nancapian,1556,9.0,10,105,10,9.0
Nalsian Norte,3503,0.0,10,105,10,0.0
Nalsian Sur,1360,1.0,10,105,10,1.0
Nansangaan,850,3.0,10,105,10,3.0
Olea,2802,4.0,10,105,10,4.0
Pacuan,900,5.0,10,105,10,5.0
Palapar Norte,1678,6.0,10,105,10,6.0
Palapar Sur,842,7.0,10,105,10,7.0
Palong,2650,8.0,10,105,10,8.0
Pamaranum,731,9.0,10,105,10,9.0
Pasima,2721,0.0,10,105,10,0.0
Payar,1649,1.0,10,105,10,1.0
Poblacion,8322,2.0,10,105,10,2.0
Polong Norte,1606,3.0,10,105,10,3.0
Polong Sur,1701,4.0,10,105,10,4.0
Potiocan,1351,5.0,10,105,10,5.0
San Julian,1457,6.0,10,105,10,6.0
Tabo-Sili,1269,7.0,10,105,10,7.0
Tobor,2310,8.0,10,105,10,8.0
Talospatang,3829,9.0,10,105,10,9.0
Taloy,2589,0.0,10,105,10,0.0
Taloyan,1145,1.0,10,105,10,1.0
Tambac,3323,2.0,10,105,10,2.0
Tolonguat,1277,3.0,10,105,10,3.0
Tomling,1673,4.0,10,105,10,4.0
Umando,1505,5.0,10,105,10,5.0
Viado,987,6.0,10,105,10,6.0
Waig,1037,7.0,10,105,10,7.0
Warey,2991,8.0,10,105,10,8.0
Babasit,5876,2.0,10,105,10,2.0
Baguinay,2231,3.0,10,105,10,3.0
Baritao,5576,4.0,10,105,10,4.0
Bisal,2206,5.0,10,105,10,5.0
Bucao,1742,7.0,10,105,10,7.0
Cabanbanan,4522,9.0,10,105,10,9.0
Calaocan,1665,4.0,10,105,10,4.0
Inamotan,2701,9.0,10,105,10,9.0
Lelemaan,3660,3.0,10,105,10,3.0
Licsi,1774,4.0,10,105,10,4.0
Lipit Norte,2511,5.0,10,105,10,5.0
Lipit Sur,3499,6.0,10,105,10,6.0
Parian,633,7.0,10,105,10,7.0
Matolong,1814,8.0,10,105,10,8.0
Mermer,1424,0.0,10,105,10,0.0
Nalsian,2781,1.0,10,105,10,1.0
Oraan East,1215,3.0,10,105,10,3.0
Oraan West,2075,4.0,10,105,10,4.0
Pantal,3210,6.0,10,105,10,6.0
Pao,3806,7.0,10,105,10,7.0
Poblacion,5470,9.0,10,105,10,9.0
Pugaro,6340,0.0,10,105,10,0.0
San Ramon,1851,1.0,10,105,10,1.0
Santa Ines,2068,2.0,10,105,10,2.0
Sapang,3083,3.0,10,105,10,3.0
Tebuel,2312,5.0,10,105,10,5.0
Alitaya,4687,1.0,10,105,10,1.0
Amansabina,2710,2.0,10,105,10,2.0
Anolid,8052,3.0,10,105,10,3.0
Banaoang,5857,4.0,10,105,10,4.0
Bantayan,3809,5.0,10,105,10,5.0
Bari,6071,6.0,10,105,10,6.0
Bateng,2889,7.0,10,105,10,7.0
Buenlag,4486,8.0,10,105,10,8.0
David,5164,9.0,10,105,10,9.0
Embarcadero,2718,0.0,10,105,10,0.0
Gueguesangen,2759,1.0,10,105,10,1.0
Guesang,4009,2.0,10,105,10,2.0
Guiguilonen,3452,3.0,10,105,10,3.0
Guilig,3452,4.0,10,105,10,4.0
Inlambo,1868,5.0,10,105,10,5.0
Lanas,3339,6.0,10,105,10,6.0
Landas,2400,7.0,10,105,10,7.0
Maasin,4146,8.0,10,105,10,8.0
Macayug,2617,9.0,10,105,10,9.0
Malabago,5131,0.0,10,105,10,0.0
Navaluan,4116,1.0,10,105,10,1.0
Nibaliw,3336,2.0,10,105,10,2.0
Osiem,3348,3.0,10,105,10,3.0
Palua,2387,4.0,10,105,10,4.0
Poblacion,4173,5.0,10,105,10,5.0
Pogo,1758,6.0,10,105,10,6.0
Salaan,2934,7.0,10,105,10,7.0
Salay,5884,8.0,10,105,10,8.0
Tebag,3059,9.0,10,105,10,9.0
Talogtog,2574,0.0,10,105,10,0.0
Andangin,1229,1.0,10,105,10,1.0
Arellano Street ,528,2.0,10,105,10,2.0
Bantay,493,3.0,10,105,10,3.0
Bantocaling,1710,4.0,10,105,10,4.0
Baracbac,1191,5.0,10,105,10,5.0
Peania Pedania,1315,6.0,10,105,10,6.0
Bogtong Bolo,819,7.0,10,105,10,7.0
Bogtong Bunao,973,8.0,10,105,10,8.0
Bogtong Centro,417,9.0,10,105,10,9.0
Bogtong Niog,714,0.0,10,105,10,0.0
Bogtong Silag,1886,1.0,10,105,10,1.0
Buaya,453,2.0,10,105,10,2.0
Buenlag,738,3.0,10,105,10,3.0
Bueno,917,4.0,10,105,10,4.0
Bunagan,604,5.0,10,105,10,5.0
Bunlalacao,1091,7.0,10,105,10,7.0
Burgos Street ,616,8.0,10,105,10,8.0
Cabaluyan 1st,527,9.0,10,105,10,9.0
Cabaluyan 2nd,1119,0.0,10,105,10,0.0
Cabarabuan,845,1.0,10,105,10,1.0
Cabaruan,646,2.0,10,105,10,2.0
Cabayaoasan,1464,3.0,10,105,10,3.0
Cabayugan,699,4.0,10,105,10,4.0
Cacaoiten,518,5.0,10,105,10,5.0
Calomboyan Norte,596,6.0,10,105,10,6.0
Calomboyan Sur,845,7.0,10,105,10,7.0
Calvo ,1290,8.0,10,105,10,8.0
Casilagan,1701,9.0,10,105,10,9.0
Catarataraan,454,0.0,10,105,10,0.0
Caturay Norte,856,1.0,10,105,10,1.0
Caturay Sur,1042,2.0,10,105,10,2.0
Caviernesan,1364,3.0,10,105,10,3.0
Dorongan Ketaket,1048,4.0,10,105,10,4.0
Dorongan Linmansangan,181,5.0,10,105,10,5.0
Dorongan Punta,2120,6.0,10,105,10,6.0
Dorongan Sawat,1848,7.0,10,105,10,7.0
Dorongan Valerio,1968,8.0,10,105,10,8.0
General Luna ,227,9.0,10,105,10,9.0
Historia,493,0.0,10,105,10,0.0
Lawak Langka,1137,1.0,10,105,10,1.0
Linmansangan,1031,2.0,10,105,10,2.0
Lopez ,697,3.0,10,105,10,3.0
Mabini ,628,4.0,10,105,10,4.0
Macarang,1414,5.0,10,105,10,5.0
Malabobo,1933,6.0,10,105,10,6.0
Malibong,293,7.0,10,105,10,7.0
Malunec,405,8.0,10,105,10,8.0
Maravilla ,748,9.0,10,105,10,9.0
Maravilla-Arellano Ext. ,1338,0.0,10,105,10,0.0
Muelang,417,1.0,10,105,10,1.0
Naguilayan East,509,2.0,10,105,10,2.0
Naguilayan West,782,3.0,10,105,10,3.0
Nancasalan,1265,4.0,10,105,10,4.0
Niog-Cabison-Bulaney,1267,5.0,10,105,10,5.0
Olegario-Caoile ,495,6.0,10,105,10,6.0
Olo Cacamposan,1760,7.0,10,105,10,7.0
Olo Cafabrosan,1215,8.0,10,105,10,8.0
Olo Cagarlitan,1195,9.0,10,105,10,9.0
Osmeña ,818,0.0,10,105,10,0.0
Pacalat,1018,1.0,10,105,10,1.0
Pampano,2753,2.0,10,105,10,2.0
Parian,1181,3.0,10,105,10,3.0
Paul,493,4.0,10,105,10,4.0
Pogon-Aniat,335,5.0,10,105,10,5.0
Pogon-Lomboy ,971,6.0,10,105,10,6.0
Ponglo-Baleg,512,7.0,10,105,10,7.0
Ponglo-Muelag,589,8.0,10,105,10,8.0
Quetegan,2143,9.0,10,105,10,9.0
Quezon ,167,0.0,10,105,10,0.0
Salavante,918,1.0,10,105,10,1.0
Sapang,917,2.0,10,105,10,2.0
Sonson Ongkit,1111,3.0,10,105,10,3.0
Suaco,461,4.0,10,105,10,4.0
Tagac,1064,5.0,10,105,10,5.0
Takipan,707,6.0,10,105,10,6.0
Talogtog,681,7.0,10,105,10,7.0
Tococ Barikir,436,8.0,10,105,10,8.0
Torre 1st,600,9.0,10,105,10,9.0
Torre 2nd,1145,0.0,10,105,10,0.0
Torres Bugallon ,1400,1.0,10,105,10,1.0
Umangan,2123,2.0,10,105,10,2.0
Zamora ,706,3.0,10,105,10,3.0
Amanoaoac,1636,1.0,10,105,10,1.0
Apaya,1467,2.0,10,105,10,2.0
Aserda,1108,3.0,10,105,10,3.0
Baloling,4393,4.0,10,105,10,4.0
Coral,1389,6.0,10,105,10,6.0
Golden,1399,7.0,10,105,10,7.0
Jimenez,1995,8.0,10,105,10,8.0
Lambayan,1756,9.0,10,105,10,9.0
Luyan,3730,0.0,10,105,10,0.0
Nilombot,4411,2.0,10,105,10,2.0
Pias,4699,3.0,10,105,10,3.0
Poblacion,3622,4.0,10,105,10,4.0
Primicias,2071,5.0,10,105,10,5.0
Santa Maria,1270,6.0,10,105,10,6.0
Torres,3112,8.0,10,105,10,8.0
Barangobong,838,1.0,10,105,10,1.0
Batchelor East,1314,3.0,10,105,10,3.0
Batchelor West,1334,4.0,10,105,10,4.0
Burgos,1027,5.0,10,105,10,5.0
Cacandungan,1479,6.0,10,105,10,6.0
Calapugan,1468,7.0,10,105,10,7.0
Canarem,1200,8.0,10,105,10,8.0
Luna,1605,9.0,10,105,10,9.0
Poblacion East,1929,1.0,10,105,10,1.0
Poblacion West,1782,2.0,10,105,10,2.0
Rizal,735,3.0,10,105,10,3.0
Salud,1704,4.0,10,105,10,4.0
San Eugenio,1672,5.0,10,105,10,5.0
San Macario Norte,1749,7.0,10,105,10,7.0
San Macario Sur,1305,8.0,10,105,10,8.0
San Maximo,1629,9.0,10,105,10,9.0
San Miguel,2292,0.0,10,105,10,0.0
Silag,709,2.0,10,105,10,2.0
Alipangpang,6304,1.0,10,105,10,1.0
Amagbagan,2657,2.0,10,105,10,2.0
Balacag,980,3.0,10,105,10,3.0
Banding,1107,4.0,10,105,10,4.0
Bantugan,1367,6.0,10,105,10,6.0
Batakil,2745,7.0,10,105,10,7.0
Bobonan,2981,8.0,10,105,10,8.0
Buneg,2269,9.0,10,105,10,9.0
Cablong,2394,0.0,10,105,10,0.0
Castaño,1260,1.0,10,105,10,1.0
Dilan,3842,2.0,10,105,10,2.0
Don Benito,1537,3.0,10,105,10,3.0
Haway,683,4.0,10,105,10,4.0
Imbalbalatong,2425,5.0,10,105,10,5.0
Inoman,2774,6.0,10,105,10,6.0
Laoac,1306,7.0,10,105,10,7.0
Maambal,1429,8.0,10,105,10,8.0
Malasin,2000,9.0,10,105,10,9.0
Malokiat,1199,0.0,10,105,10,0.0
Manaol,1556,1.0,10,105,10,1.0
Nama,3289,2.0,10,105,10,2.0
Nantangalan,1884,3.0,10,105,10,3.0
Palacpalac,3148,4.0,10,105,10,4.0
Palguyod,3302,5.0,10,105,10,5.0
Poblacion I,2185,6.0,10,105,10,6.0
Poblacion II,1344,7.0,10,105,10,7.0
Poblacion III,1457,8.0,10,105,10,8.0
Poblacion IV,1672,9.0,10,105,10,9.0
Rosario,5574,0.0,10,105,10,0.0
Sugcong,1849,1.0,10,105,10,1.0
Talogtog,2246,2.0,10,105,10,2.0
Tulnac,939,3.0,10,105,10,3.0
Villegas,1898,4.0,10,105,10,4.0
Casanfernandoan,1127,5.0,10,105,10,5.0
Acop,2250,1.0,10,105,10,1.0
Bakit-Bakit,826,2.0,10,105,10,2.0
Balingcanaway,2389,3.0,10,105,10,3.0
Cabalaoangan Norte,1956,4.0,10,105,10,4.0
Cabalaoangan Sur,2554,5.0,10,105,10,5.0
Camangaan,1407,6.0,10,105,10,6.0
Capitan Tomas,1608,7.0,10,105,10,7.0
Carmay West,828,8.0,10,105,10,8.0
Carmen East,3664,9.0,10,105,10,9.0
Carmen West,2571,0.0,10,105,10,0.0
Casanicolasan,1215,2.0,10,105,10,2.0
Coliling,2071,3.0,10,105,10,3.0
Calanutan,1292,4.0,10,105,10,4.0
Guiling,3234,5.0,10,105,10,5.0
Palakipak,2148,6.0,10,105,10,6.0
Pangaoan,1416,7.0,10,105,10,7.0
Rabago,2352,8.0,10,105,10,8.0
Rizal,1432,9.0,10,105,10,9.0
Salvacion,1201,0.0,10,105,10,0.0
San Antonio,1222,1.0,10,105,10,1.0
San Bartolome,1570,2.0,10,105,10,2.0
San Isidro,1665,3.0,10,105,10,3.0
San Luis,1133,4.0,10,105,10,4.0
San Pedro East,1924,5.0,10,105,10,5.0
San Pedro West,4334,6.0,10,105,10,6.0
San Vicente,512,7.0,10,105,10,7.0
San Angel,953,8.0,10,105,10,8.0
Station District,2750,9.0,10,105,10,9.0
Tomana East,1204,1.0,10,105,10,1.0
Tomana West,3274,2.0,10,105,10,2.0
Zone I ,1273,3.0,10,105,10,3.0
Zone IV ,1717,4.0,10,105,10,4.0
Carmay East,3122,5.0,10,105,10,5.0
Don Antonio Village,852,6.0,10,105,10,6.0
Zone II ,577,7.0,10,105,10,7.0
Zone III ,678,8.0,10,105,10,8.0
Zone V ,1537,9.0,10,105,10,9.0
Abanon,1974,1.0,10,105,10,1.0
Agdao,3983,2.0,10,105,10,2.0
Anando,1106,3.0,10,105,10,3.0
Ano,2799,4.0,10,105,10,4.0
Antipangol,1802,5.0,10,105,10,5.0
Aponit,2580,6.0,10,105,10,6.0
Bacnar,5717,7.0,10,105,10,7.0
Balaya,1938,8.0,10,105,10,8.0
Balayong,2166,9.0,10,105,10,9.0
Baldog,2152,0.0,10,105,10,0.0
Balite Sur,4110,1.0,10,105,10,1.0
Balococ,2170,2.0,10,105,10,2.0
Bani,690,3.0,10,105,10,3.0
Bega,2446,4.0,10,105,10,4.0
Bocboc,991,5.0,10,105,10,5.0
Bugallon-Posadas Street ,801,6.0,10,105,10,6.0
Bogaoan,2613,7.0,10,105,10,7.0
Bolingit,3679,8.0,10,105,10,8.0
Bolosan,1979,9.0,10,105,10,9.0
Bonifacio ,521,0.0,10,105,10,0.0
Buenglat,1993,1.0,10,105,10,1.0
Burgos Padlan ,1194,2.0,10,105,10,2.0
Cacaritan,2869,3.0,10,105,10,3.0
Caingal,1553,4.0,10,105,10,4.0
Calobaoan,3992,5.0,10,105,10,5.0
Calomboyan,3887,6.0,10,105,10,6.0
Capataan,2626,7.0,10,105,10,7.0
Caoayan-Kiling,4478,8.0,10,105,10,8.0
Cobol,3959,9.0,10,105,10,9.0
Coliling,5173,0.0,10,105,10,0.0
Cruz,2104,1.0,10,105,10,1.0
Doyong,2312,2.0,10,105,10,2.0
Gamata,1799,5.0,10,105,10,5.0
Guelew,4093,6.0,10,105,10,6.0
Ilang,1381,7.0,10,105,10,7.0
Inerangan,1678,8.0,10,105,10,8.0
Isla,2901,9.0,10,105,10,9.0
Libas,3981,0.0,10,105,10,0.0
Lilimasan,2738,1.0,10,105,10,1.0
Longos,1203,3.0,10,105,10,3.0
Lucban ,985,4.0,10,105,10,4.0
Mabalbalino,1936,5.0,10,105,10,5.0
Mabini ,425,6.0,10,105,10,6.0
Magtaking,3016,7.0,10,105,10,7.0
Malacañang,3837,8.0,10,105,10,8.0
Maliwara,817,0.0,10,105,10,0.0
Mamarlao,3122,1.0,10,105,10,1.0
Manzon,2191,2.0,10,105,10,2.0
Matagdem,3406,3.0,10,105,10,3.0
Mestizo Norte,1783,4.0,10,105,10,4.0
Naguilayan,1784,5.0,10,105,10,5.0
Nilentap,1632,6.0,10,105,10,6.0
Padilla-Gomez,2029,7.0,10,105,10,7.0
Pagal,4714,8.0,10,105,10,8.0
Palaming,3141,0.0,10,105,10,0.0
Palaris ,514,1.0,10,105,10,1.0
Palospos,1621,2.0,10,105,10,2.0
Pangalangan,3474,3.0,10,105,10,3.0
Pangoloan,1539,4.0,10,105,10,4.0
Pangpang,3579,5.0,10,105,10,5.0
Paitan-Panoypoy,1791,6.0,10,105,10,6.0
Parayao,1189,7.0,10,105,10,7.0
Payapa,1428,9.0,10,105,10,9.0
Payar,1814,0.0,10,105,10,0.0
Perez Boulevard ,677,1.0,10,105,10,1.0
Polo,1783,2.0,10,105,10,2.0
Quezon Boulevard ,1891,3.0,10,105,10,3.0
Quintong,3964,4.0,10,105,10,4.0
Rizal ,2713,5.0,10,105,10,5.0
Roxas Boulevard ,1385,6.0,10,105,10,6.0
Salinap,2670,7.0,10,105,10,7.0
San Juan,3468,8.0,10,105,10,8.0
San Pedro-Taloy,2408,9.0,10,105,10,9.0
Sapinit,1661,0.0,10,105,10,0.0
PNR Station Site,1063,1.0,10,105,10,1.0
Supo,1607,2.0,10,105,10,2.0
Talang,1637,3.0,10,105,10,3.0
Tamayo,3547,4.0,10,105,10,4.0
Tandoc,3801,5.0,10,105,10,5.0
Tarece,4474,6.0,10,105,10,6.0
Tarectec,1674,7.0,10,105,10,7.0
Tayambani,1491,8.0,10,105,10,8.0
Tebag,1366,9.0,10,105,10,9.0
Turac,6919,0.0,10,105,10,0.0
M. Soriano,745,1.0,10,105,10,1.0
Tandang Sora,582,2.0,10,105,10,2.0
Ambalangan-Dalin,2331,1.0,10,105,10,1.0
Angio,3416,2.0,10,105,10,2.0
Anonang,4688,3.0,10,105,10,3.0
Aramal,3490,4.0,10,105,10,4.0
Bigbiga,1309,6.0,10,105,10,6.0
Binday,2377,7.0,10,105,10,7.0
Bolaoen,1519,8.0,10,105,10,8.0
Bolasi,3108,9.0,10,105,10,9.0
Cayanga,4735,0.0,10,105,10,0.0
Gumot,917,1.0,10,105,10,1.0
Inmalog,1908,2.0,10,105,10,2.0
Lekep-Butao,2761,3.0,10,105,10,3.0
Longos,2849,4.0,10,105,10,4.0
Mabilao,2977,5.0,10,105,10,5.0
Nibaliw Central,811,6.0,10,105,10,6.0
Nibaliw East,2535,7.0,10,105,10,7.0
Nibaliw Magliba,1765,8.0,10,105,10,8.0
Palapad,1883,9.0,10,105,10,9.0
Poblacion,3910,0.0,10,105,10,0.0
Rabon,2536,1.0,10,105,10,1.0
Sagud-Bahley,4354,2.0,10,105,10,2.0
Sobol,2862,3.0,10,105,10,3.0
Tempra-Guilig,3924,4.0,10,105,10,4.0
Tocok,3777,5.0,10,105,10,5.0
Lipit-Tomeeng,2259,7.0,10,105,10,7.0
Colisao,861,8.0,10,105,10,8.0
Nibaliw Narvarte,2707,9.0,10,105,10,9.0
Nibaliw Vidal,3576,0.0,10,105,10,0.0
Alacan,1968,1.0,10,105,10,1.0
Cabaruan,1473,2.0,10,105,10,2.0
Inmalog Norte,1310,3.0,10,105,10,3.0
Longos-Amangonan-Parac-Parac Fabrica,2820,4.0,10,105,10,4.0
Longos Proper,2431,5.0,10,105,10,5.0
Tiblong,1281,6.0,10,105,10,6.0
Awai,1103,1.0,10,105,10,1.0
Bolo,1862,2.0,10,105,10,2.0
Capaoay ,2436,3.0,10,105,10,3.0
Casibong,2842,4.0,10,105,10,4.0
Imelda,1499,5.0,10,105,10,5.0
Guibel,2159,6.0,10,105,10,6.0
Labney,2615,7.0,10,105,10,7.0
Magsaysay,1068,9.0,10,105,10,9.0
Lobong,5474,0.0,10,105,10,0.0
Macayug,3803,1.0,10,105,10,1.0
Bagong Pag-asa,1309,3.0,10,105,10,3.0
San Guillermo,855,4.0,10,105,10,4.0
San Jose,3172,5.0,10,105,10,5.0
San Juan,1983,6.0,10,105,10,6.0
San Roque,1695,7.0,10,105,10,7.0
San Vicente,4871,8.0,10,105,10,8.0
Santa Cruz,573,9.0,10,105,10,9.0
Santa Maria,2538,0.0,10,105,10,0.0
