population,name,code,region_code,province_code,municipality_code
4053,San Marcelino,20,10,102,10
868,Puruganan ,21,10,102,10
1340,Peralta ,22,10,102,10
807,Root,23,10,102,10
846,Sagpatan,24,10,102,10
1473,Saludares,25,10,102,10
831,San Esteban,26,10,102,10
1030,Espiritu,27,10,102,10
1478,Sulquiano,28,10,102,10
2304,San Francisco,29,10,102,10
1404,Suyo,30,10,102,10
741,San Marcos,31,10,102,10
1086,Elizabeth,32,10,102,10
448,Cabaritan,1,10,102,10
1026,San Isidro,2,10,102,10
644,Kalaw,3,10,102,10
969,Quibel,4,10,102,10
844,Balioeg,1,10,102,10
874,Bangsar,2,10,102,10
819,Barbarangay,3,10,102,10
1276,Bomitog,4,10,102,10
945,Bugasi,5,10,102,10
836,Caestebanan,6,10,102,10
1055,Caribquib,8,10,102,10
1318,Catagtaguen,9,10,102,10
955,Crispina,11,10,102,10
951,Hilario ,12,10,102,10
613,Imelda,13,10,102,10
746,Lorenzo ,14,10,102,10
1054,Macayepyep,15,10,102,10
1048,Marcos ,16,10,102,10
902,Nagpatayan,17,10,102,10
1061,Valdez,18,10,102,10
1205,Sinamar,19,10,102,10
1148,Tabtabagan,20,10,102,10
694,Valenciano ,21,10,102,10
953,Binacag,22,10,102,10
953,"Bgy. No. 42, Apaya",1,10,102,10
958,"Bgy. No. 36, Araniw",2,10,102,10
893,"Bgy. No. 56-A, Bacsil North",3,10,102,10
1346,"Bgy. No. 56-B, Bacsil South",4,10,102,10
1595,"Bgy. No. 41, Balacad",5,10,102,10
2674,"Bgy. No. 40, Balatong",6,10,102,10
2311,"Bgy. No. 55-A, Barit-Pandan",7,10,102,10
1916,"Bgy. No. 47, Bengcag",8,10,102,10
2764,"Bgy. No. 50, Buttong",9,10,102,10
1331,"Bgy. No. 60-A, Caaoacan",10,10,102,10
2058,"Bry. No. 48-A, Cabungaan North",11,10,102,10
1296,"Bgy. No. 48-B, Cabungaan South",12,10,102,10
2103,"Bgy. No. 37, Calayab",13,10,102,10
1006,"Bgy. No. 54-B, Camangaan",14,10,102,10
