name,population,code,region_code,province_code,city_code
San Marcelino,4053,020,01,028,09
Puruganan ,868,021,01,028,09
Peralta ,1340,022,01,028,09
Root,807,023,01,028,09
Sagpatan,846,024,01,028,09
Saludares,1473,025,01,028,09
San Esteban,831,026,01,028,09
Espiritu,1030,027,01,028,09
Sulquiano,1478,028,01,028,09
San Francisco,2304,029,01,028,09
Suyo,1404,030,01,028,09
San Marcos,741,031,01,028,09
Elizabeth,1086,032,01,028,09
Cabaritan,448,001,01,028,10
San Isidro,1026,002,01,028,10
Kalaw,644,003,01,028,10
Quibel,969,004,01,028,10
Balioeg,844,001,01,028,11
Bangsar,874,002,01,028,11
Barbarangay,819,003,01,028,11
Bomitog,1276,004,01,028,11
Bugasi,945,005,01,028,11
Caestebanan,836,006,01,028,11
Caribquib,1055,008,01,028,11
Catagtaguen,1318,009,01,028,11
Crispina,955,011,01,028,11
Hilario ,951,012,01,028,11
Imelda,613,013,01,028,11
Lorenzo ,746,014,01,028,11
Macayepyep,1054,015,01,028,11
Marcos ,1048,016,01,028,11
Nagpatayan,902,017,01,028,11
Valdez,1061,018,01,028,11
Sinamar,1205,019,01,028,11
Tabtabagan,1148,020,01,028,11
Valenciano ,694,021,01,028,11
Binacag,953,022,01,028,11
"Bgy. No. 42, Apaya",953,001,01,028,12
"Bgy. No. 36, Araniw",958,002,01,028,12
"Bgy. No. 56-A, Bacsil North",893,003,01,028,12
"Bgy. No. 56-B, Bacsil South",1346,004,01,028,12
"Bgy. No. 41, Balacad",1595,005,01,028,12
"Bgy. No. 40, Balatong",2674,006,01,028,12
"Bgy. No. 55-A, Barit-Pandan",2311,007,01,028,12
"Bgy. No. 47, Bengcag",1916,008,01,028,12
"Bgy. No. 50, Buttong",2764,009,01,028,12
"Bgy. No. 60-A, Caaoacan",1331,010,01,028,12
"Bry. No. 48-A, Cabungaan North",2058,011,01,028,12
"Bgy. No. 48-B, Cabungaan South",1296,012,01,028,12
"Bgy. No. 37, Calayab",2103,013,01,028,12
"Bgy. No. 54-B, Camangaan",1006,014,01,028,12
"Bgy. No. 58, Casili",993,015,01,028,12
"Bgy. No. 61, Cataban",766,016,01,028,12
"Bgy. No. 43, Cavit",1140,017,01,028,12
"Bgy. No. 49-A, Darayday",960,019,01,028,12
"Bgy. No. 59-B, Dibua North",881,020,01,028,12
"Bgy. No. 59-A, Dibua South",1105,021,01,028,12
"Bgy. No. 34-B, Gabu Norte East",1321,022,01,028,12
"Bgy. No. 34-A, Gabu Norte West",581,023,01,028,12
"Bgy. No. 35, Gabu Sur",1815,024,01,028,12
Bgy. No. 32-C La Paz East,1499,026,01,028,12
"Bgy. No. 33-B, La Paz Proper",1127,027,01,028,12
"Bgy. No. 32-B, La Paz West",1099,028,01,028,12
"Bgy. No. 54-A, Lagui-Sail",2367,029,01,028,12
"Bgy. No. 32-A, La Paz East",1395,030,01,028,12
"Bgy. No. 33-A, La Paz Proper",1195,031,01,028,12
"Bgy. No. 52-B, Lataag",873,032,01,028,12
"Bgy. No. 60-B, Madiladig",1653,033,01,028,12
"Bgy. No. 38-A, Mangato East",1174,034,01,028,12
"Bgy. No. 38-B, Mangato West",1226,035,01,028,12
"Bgy. No. 62-A, Navotas North",854,036,01,028,12
"Bgy. No. 62-B, Navotas South",1021,037,01,028,12
"Bgy. No. 46, Nalbo",2484,038,01,028,12
"Bgy. No. 51-A, Nangalisan East",1713,039,01,028,12
"Bgy. No. 51-B, Nangalisan West",785,040,01,028,12
"Bgy. No. 24, Nstra. Sra. De Consolacion ",1074,041,01,028,12
"Bgy. No. 7-A, Nstra. Sra. De Natividad ",913,042,01,028,12
"Bgy. No. 7-B, Nstra. Sra. De Natividad ",827,043,01,028,12
"Bgy. No. 27, Nstra. Sra. De Soledad ",1660,044,01,028,12
"Bgy. No. 13, Nstra. Sra. De Visitacion ",1460,045,01,028,12
"Bgy. No. 3, Nstra. Sra. Del Rosario ",1011,046,01,028,12
"Bgy. No. 57, Pila",1960,047,01,028,12
"Bgy. No. 49-B, Raraburan",1631,048,01,028,12
"Bgy. No. 53, Rioeng",1678,049,01,028,12
"Bgy. No. 55-B, Salet-Bulangon",2626,050,01,028,12
"Bgy. No. 6, San Agustin ",1267,053,01,028,12
"Bgy. No. 22, San Andres ",1063,054,01,028,12
"Bgy. No. 28, San Bernardo ",1549,055,01,028,12
"Bgy. No. 17, San Francisco ",719,056,01,028,12
"Bgy. No. 4, San Guillermo ",1190,057,01,028,12
"Bgy. No. 15, San Guillermo ",1039,058,01,028,12
"Bgy. No. 12, San Isidro ",1890,059,01,028,12
"Bgy. No. 16, San Jacinto ",1026,060,01,028,12
"Bgy. No. 10, San Jose ",970,061,01,028,12
"Bgy. No. 1, San Lorenzo ",5458,062,01,028,12
"Bgy. No. 26, San Marcelino ",856,063,01,028,12
"Bgy. No. 52-A, San Mateo",582,064,01,028,12
"Bgy. No. 23, San Matias ",3014,065,01,028,12
"Bgy. No. 20, San Miguel ",955,066,01,028,12
"Bgy. No. 21, San Pedro ",1262,067,01,028,12
"Bgy. No. 5, San Pedro ",1383,068,01,028,12
"Bry. No. 18, San Quirino ",732,069,01,028,12
"Bgy. No. 8, San Vicente ",878,070,01,028,12
"Bgy. No. 9, Santa Angela ",598,071,01,028,12
"Bgy. No. 11, Santa Balbina ",881,072,01,028,12
"Bgy. No. 25, Santa Cayetana ",1144,073,01,028,12
"Bgy. No. 2, Santa Joaquina ",2501,074,01,028,12
"Bgy. No. 19, Santa Marcela ",885,075,01,028,12
"Bgy. No. 30-B, Santa Maria",1571,076,01,028,12
"Bgy. No. 39, Santa Rosa",792,077,01,028,12
"Bgy. No. 14, Santo Tomas ",1041,078,01,028,12
"Bgy. No. 29, Santo Tomas ",1458,079,01,028,12
"Bgy. No. 30-A, Suyo",708,080,01,028,12
"Bgy. No. 31, Talingaan",1626,081,01,028,12
"Bgy. No. 45, Tangid",1061,082,01,028,12
"Bgy. No. 55-C, Vira",1460,083,01,028,12
"Bgy. No. 44, Zamboanga",2021,084,01,028,12
Pacifico,1843,001,01,028,13
Imelda,874,003,01,028,13
Elizabeth,1307,004,01,028,13
Daquioag,1768,005,01,028,13
Escoda,2064,006,01,028,13
Ferdinand,965,007,01,028,13
Fortuna,1111,008,01,028,13
Lydia ,2264,009,01,028,13
Mabuti,1121,010,01,028,13
Valdez,1083,011,01,028,13
Tabucbuc,1692,012,01,028,13
Santiago,1510,013,01,028,13
Cacafean,408,014,01,028,13
Acnam,767,001,01,028,14
Barangobong,443,002,01,028,14
Barikir,681,003,01,028,14
Bugayong,940,004,01,028,14
Cabittauran,1075,005,01,028,14
Caray,824,006,01,028,14
Garnaden,711,007,01,028,14
Naguillan,1043,008,01,028,14
Poblacion,3206,009,01,028,14
Santo Niño,1184,010,01,028,14
Uguis,1094,011,01,028,14
Aggasi,725,001,01,028,15
Baduang,1131,003,01,028,15
Balaoi,1980,004,01,028,15
Burayoc,1461,005,01,028,15
Caunayan,1529,006,01,028,15
Dampig,1025,007,01,028,15
Ligaya,1057,008,01,028,15
Pancian,2398,010,01,028,15
Pasaleng,1793,011,01,028,15
Poblacion 1,2669,012,01,028,15
Poblacion 2,3258,013,01,028,15
Saguigui,903,014,01,028,15
Saud,1467,015,01,028,15
Subec,1832,016,01,028,15
Tarrag,940,017,01,028,15
Caparispisan,930,018,01,028,15
Bacsil,703,001,01,028,16
Cabagoan,453,002,01,028,16
Cabangaran,375,003,01,028,16
Callaguip,2019,004,01,028,16
Cayubog,590,005,01,028,16
Dolores,419,006,01,028,16
Laoa,355,007,01,028,16
Masintoc,654,008,01,028,16
Monte,737,009,01,028,16
Mumulaan,873,010,01,028,16
Nagbacalan,3194,011,01,028,16
Nalasin,1378,012,01,028,16
Nanguyudan,602,013,01,028,16
Oaig-Upay-Abulao,744,014,01,028,16
Pambaran,189,015,01,028,16
Pannaratan ,241,016,01,028,16
Paratong,1115,017,01,028,16
Pasil,1039,018,01,028,16
Salbang ,714,019,01,028,16
San Agustin,1029,020,01,028,16
San Blas ,234,021,01,028,16
San Juan,222,022,01,028,16
San Pedro,592,025,01,028,16
San Roque ,1101,028,01,028,16
Sangladan Pob.,383,029,01,028,16
Santa Rita ,838,030,01,028,16
Sideg,459,031,01,028,16
Suba,1512,032,01,028,16
Sungadan,1181,033,01,028,16
Surgui,805,034,01,028,16
Veronica,251,035,01,028,16
Batuli,452,001,01,028,17
Binsang,972,002,01,028,17
Nalvo,591,003,01,028,17
Caruan,1429,004,01,028,17
Carusikis,819,005,01,028,17
Carusipan,459,006,01,028,17
Dadaeman,322,007,01,028,17
Darupidip,287,008,01,028,17
Davila,3989,009,01,028,17
Dilanis,452,010,01,028,17
Dilavo,641,011,01,028,17
Estancia,1117,012,01,028,17
Naglicuan,1750,014,01,028,17
Nagsanga,1335,015,01,028,17
Ngabangab,693,016,01,028,17
Pangil,392,017,01,028,17
Poblacion 1,1051,018,01,028,17
Poblacion 2,1821,019,01,028,17
Poblacion 3,934,020,01,028,17
Poblacion 4,1471,021,01,028,17
Pragata,606,022,01,028,17
Puyupuyan,871,023,01,028,17
Sulongan,492,024,01,028,17
Salpad,665,025,01,028,17
San Juan,1605,026,01,028,17
Santa Catalina,847,027,01,028,17
Santa Matilde,421,028,01,028,17
Sapat,69,029,01,028,17
Sulbec,916,030,01,028,17
Surong,340,031,01,028,17
Susugaen,1319,032,01,028,17
Tabungao,161,033,01,028,17
Tadao,389,034,01,028,17
Ab-abut,462,001,01,028,18
Abucay,1635,002,01,028,18
Anao ,1234,003,01,028,18
Arua-ay,382,004,01,028,18
Bimmanga,307,005,01,028,18
Boyboy,1665,006,01,028,18
Cabaroan ,960,007,01,028,18
Calambeg,1331,008,01,028,18
Callusa,682,009,01,028,18
Dupitac,765,010,01,028,18
Estancia,1825,011,01,028,18
Gayamat,644,012,01,028,18
Lagandit,657,013,01,028,18
Libnaoan,688,014,01,028,18
Loing ,1575,015,01,028,18
Maab-abaca,497,016,01,028,18
Mangitayag,671,017,01,028,18
Maruaya,907,018,01,028,18
San Antonio,706,019,01,028,18
Santa Maria,1510,020,01,028,18
Sucsuquen,689,021,01,028,18
Tangaoan,1119,022,01,028,18
Tonoton,1564,023,01,028,18
Aglipay,653,001,01,028,19
Apatut-Lubong,391,002,01,028,19
Badio,1398,003,01,028,19
Barbar,738,004,01,028,19
Buanga,457,005,01,028,19
Bulbulala,509,006,01,028,19
Bungro,391,007,01,028,19
Cabaroan,509,008,01,028,19
Capangdanan,760,009,01,028,19
Dalayap,621,010,01,028,19
Darat,1081,011,01,028,19
Gulpeng,384,012,01,028,19
Liliputen,546,013,01,028,19
Lumbaan-Bicbica,751,014,01,028,19
Nagtrigoan,748,015,01,028,19
Pagdilao ,1142,016,01,028,19
Pugaoan,608,017,01,028,19
Puritac,574,018,01,028,19
Sacritan,1243,019,01,028,19
Salanap,488,020,01,028,19
Santo Tomas,722,021,01,028,19
Tartarabang,1001,022,01,028,19
Puzol,256,023,01,028,19
Upon,586,024,01,028,19
Valbuena ,1069,025,01,028,19
San Francisco ,1783,001,01,028,20
San Ildefonso ,1743,002,01,028,20
San Agustin,2475,003,01,028,20
San Baltazar ,804,004,01,028,20
San Bartolome ,834,005,01,028,20
San Cayetano ,847,006,01,028,20
San Eugenio ,1021,007,01,028,20
San Fernando ,1131,008,01,028,20
San Gregorio ,1987,009,01,028,20
San Guillermo,1678,010,01,028,20
San Jose ,1452,011,01,028,20
San Juan Bautista ,2940,012,01,028,20
San Lorenzo,2359,013,01,028,20
San Lucas ,1280,014,01,028,20
San Marcos,3006,015,01,028,20
San Miguel ,1699,016,01,028,20
San Pablo,1769,017,01,028,20
San Paulo ,945,018,01,028,20
San Pedro,1969,019,01,028,20
San Rufino ,1145,020,01,028,20
San Silvestre ,857,021,01,028,20
Santa Asuncion,923,022,01,028,20
Santa Cecilia,2043,023,01,028,20
Santa Monica,2205,024,01,028,20
San Agustin ,565,001,01,028,21
San Andres,1503,002,01,028,21
San Antonio,1194,003,01,028,21
San Bernabe,237,004,01,028,21
San Cristobal,1668,005,01,028,21
San Felipe,1113,006,01,028,21
San Francisco ,969,007,01,028,21
San Isidro,1103,008,01,028,21
San Joaquin ,1433,009,01,028,21
San Jose,1598,010,01,028,21
San Juan,772,011,01,028,21
San Leandro ,1268,012,01,028,21
