10-digit PSGC,Name,Correspondence Code,Geographic Level,2020 Population,Status
102805019.0,Colo,12805019.0,Bgy,1432,
102805020.0,Pimentel,12805020.0,Bgy,1166,
102805021.0,Dariwdiw,12805021.0,Bgy,2053,
102805022.0,Acosta Pob.,12805022.0,Bgy,1058,
102805023.0,Ablan Pob.,12805023.0,Bgy,740,
102805024.0,Lacub ,12805024.0,Bgy,422,Pob.
102805025.0,Mabaleng,12805025.0,Bgy,1162,
102805026.0,Magnuang,12805026.0,Bgy,2196,
102805027.0,Maipalig,12805027.0,Bgy,456,
102805028.0,Nagbacalan,12805028.0,Bgy,1085,
102805029.0,Naguirangan,12805029.0,Bgy,1615,
102805030.0,Ricarte Pob.,12805030.0,Bgy,765,
102805031.0,Palongpong,12805031.0,Bgy,1867,
102805032.0,Palpalicong ,12805032.0,Bgy,828,Pob.
102805033.0,Parangopong,12805033.0,Bgy,1253,
102805034.0,Payao,12805034.0,Bgy,1457,
102805035.0,Quiling Norte,12805035.0,Bgy,1528,
102805036.0,Quiling Sur,12805036.0,Bgy,3267,
102805037.0,Quiom,12805037.0,Bgy,884,
102805038.0,Rayuray,12805038.0,Bgy,1062,
102805039.0,San Julian ,12805039.0,Bgy,465,Pob.
102805040.0,San Mateo,12805040.0,Bgy,1135,
102805041.0,San Pedro,12805041.0,Bgy,898,
102805042.0,Suabit ,12805042.0,Bgy,1209,Pob.
102805043.0,Sumader,12805043.0,Bgy,1387,
102805044.0,Tabug,12805044.0,Bgy,3355,
102806000.0,Burgos,12806000.0,Mun,10759,
102806001.0,Ablan Sarat,12806001.0,Bgy,1518,
102806002.0,Agaga,12806002.0,Bgy,609,
102806005.0,Bayog,12806005.0,Bgy,773,
102806006.0,Bobon,12806006.0,Bgy,1482,
102806007.0,Buduan,12806007.0,Bgy,940,
102806008.0,Nagsurot,12806008.0,Bgy,902,
102806009.0,Paayas,12806009.0,Bgy,869,
102806010.0,Pagali,12806010.0,Bgy,776,
102806011.0,Poblacion,12806011.0,Bgy,1468,
102806013.0,Saoit,12806013.0,Bgy,739,
102806014.0,Tanap,12806014.0,Bgy,683,
102807000.0,Carasi,12807000.0,Mun,1607,
102807001.0,Angset,12807001.0,Bgy,176,
102807003.0,Barbaqueso ,12807003.0,Bgy,812,Pob.
102807004.0,Virbira,12807004.0,Bgy,619,
102808000.0,Currimao,12808000.0,Mun,12215,
102808001.0,Anggapang Norte,12808001.0,Bgy,319,
102808002.0,Anggapang Sur,12808002.0,Bgy,183,
102808003.0,Bimmanga,12808003.0,Bgy,342,
102808004.0,Cabuusan,12808004.0,Bgy,327,
102808005.0,Comcomloong,12808005.0,Bgy,124,
102808006.0,Gaang,12808006.0,Bgy,1287,
102808007.0,Lang-ayan-Baramban,12808007.0,Bgy,531,
102808008.0,Lioes,12808008.0,Bgy,479,
102808009.0,Maglaoi Centro,12808009.0,Bgy,229,
102808010.0,Maglaoi Norte,12808010.0,Bgy,658,
102808011.0,Maglaoi Sur,12808011.0,Bgy,543,
102808013.0,Paguludan-Salindeg,12808013.0,Bgy,296,
102808014.0,Pangil,12808014.0,Bgy,541,
102808015.0,Pias Norte,12808015.0,Bgy,932,
102808016.0,Pias Sur,12808016.0,Bgy,778,
102808017.0,Poblacion I,12808017.0,Bgy,673,
102808018.0,Poblacion II,12808018.0,Bgy,564,
102808019.0,Salugan,12808019.0,Bgy,586,
102808020.0,San Simeon,12808020.0,Bgy,284,
102808021.0,Santa Cruz,12808021.0,Bgy,356,
102808022.0,Tapao-Tigue,12808022.0,Bgy,874,
102808023.0,Torre,12808023.0,Bgy,410,
102808024.0,Victoria,12808024.0,Bgy,899,
102809000.0,Dingras,12809000.0,Mun,40127,
102809001.0,Albano ,12809001.0,Bgy,871,Pob.
102809002.0,Bacsil,12809002.0,Bgy,878,
102809003.0,Bagut,12809003.0,Bgy,1062,
102809004.0,Parado,12809004.0,Bgy,1563,
102809005.0,Baresbes,12809005.0,Bgy,2036,
102809006.0,Barong,12809006.0,Bgy,2468,
102809007.0,Bungcag,12809007.0,Bgy,578,
102809009.0,Cali,12809009.0,Bgy,1343,
102809010.0,Capasan,12809010.0,Bgy,732,
102809011.0,Dancel ,12809011.0,Bgy,654,Pob.
102809012.0,Foz,12809012.0,Bgy,915,
102809013.0,Guerrero ,12809013.0,Bgy,1496,Pob.
102809014.0,Lanas,12809014.0,Bgy,1062,
102809015.0,Lumbad,12809015.0,Bgy,1079,
102809016.0,Madamba ,12809016.0,Bgy,1961,Pob.
102809017.0,Mandaloque,12809017.0,Bgy,647,
102809018.0,Medina,12809018.0,Bgy,1298,
102809019.0,Ver,12809019.0,Bgy,1223,
102809020.0,San Marcelino,12809020.0,Bgy,4053,
102809021.0,Puruganan ,12809021.0,Bgy,868,Pob.
102809022.0,Peralta ,12809022.0,Bgy,1340,Pob.
102809023.0,Root,12809023.0,Bgy,807,
102809024.0,Sagpatan,12809024.0,Bgy,846,
102809025.0,Saludares,12809025.0,Bgy,1473,
102809026.0,San Esteban,12809026.0,Bgy,831,
102809027.0,Espiritu,12809027.0,Bgy,1030,
102809028.0,Sulquiano,12809028.0,Bgy,1478,
102809029.0,San Francisco,12809029.0,Bgy,2304,
102809030.0,Suyo,12809030.0,Bgy,1404,
102809031.0,San Marcos,12809031.0,Bgy,741,
102809032.0,Elizabeth,12809032.0,Bgy,1086,
102810000.0,Dumalneg,12810000.0,Mun,3087,
102810001.0,Cabaritan,12810001.0,Bgy,448,
102810002.0,San Isidro,12810002.0,Bgy,1026,
102810003.0,Kalaw,12810003.0,Bgy,644,
102810004.0,Quibel,12810004.0,Bgy,969,
102811000.0,Banna,12811000.0,Mun,19297,
102811001.0,Balioeg,12811001.0,Bgy,844,
102811002.0,Bangsar,12811002.0,Bgy,874,
102811003.0,Barbarangay,12811003.0,Bgy,819,
102811004.0,Bomitog,12811004.0,Bgy,1276,
102811005.0,Bugasi,12811005.0,Bgy,945,
102811006.0,Caestebanan,12811006.0,Bgy,836,
102811008.0,Caribquib,12811008.0,Bgy,1055,
102811009.0,Catagtaguen,12811009.0,Bgy,1318,
102811011.0,Crispina,12811011.0,Bgy,955,
102811012.0,Hilario ,12811012.0,Bgy,951,Pob.
102811013.0,Imelda,12811013.0,Bgy,613,
102811014.0,Lorenzo ,12811014.0,Bgy,746,Pob.
102811015.0,Macayepyep,12811015.0,Bgy,1054,
102811016.0,Marcos ,12811016.0,Bgy,1048,Pob.
102811017.0,Nagpatayan,12811017.0,Bgy,902,
102811018.0,Valdez,12811018.0,Bgy,1061,
102811019.0,Sinamar,12811019.0,Bgy,1205,
102811020.0,Tabtabagan,12811020.0,Bgy,1148,
102811021.0,Valenciano ,12811021.0,Bgy,694,Pob.
102811022.0,Binacag,12811022.0,Bgy,953,
102812000.0,City of Laoag ,12812000.0,City,111651,Capital
102812001.0,"Bgy. No. 42, Apaya",12812001.0,Bgy,953,
102812002.0,"Bgy. No. 36, Araniw",12812002.0,Bgy,958,
102812003.0,"Bgy. No. 56-A, Bacsil North",12812003.0,Bgy,893,
102812004.0,"Bgy. No. 56-B, Bacsil South",12812004.0,Bgy,1346,
102812005.0,"Bgy. No. 41, Balacad",12812005.0,Bgy,1595,
102812006.0,"Bgy. No. 40, Balatong",12812006.0,Bgy,2674,
102812007.0,"Bgy. No. 55-A, Barit-Pandan",12812007.0,Bgy,2311,
102812008.0,"Bgy. No. 47, Bengcag",12812008.0,Bgy,1916,
102812009.0,"Bgy. No. 50, Buttong",12812009.0,Bgy,2764,
